"","INSTNM","ZIP","st_fips","region","CONTROL","DEBT_MDN_SUPP","GRAD_DEBT_MDN","GRAD_DEBT_N","WDRAW_DEBT_MDN","WDRAW_DEBT_N","mn_earn_wne_p10","md_earn_wne_p10","pct10_earn_wne_p10","pct25_earn_wne_p10","pct75_earn_wne_p10","pct90_earn_wne_p10","ADM_RATE","PCTPELL","C150_4"
"1090","Northwest Missouri State University","64468-6001",29,4,1,12926,22250,1343,7905,2062,43400,38900,15200,27500,53100,75800,0.6976,0.3504,0.4993
"1091","Ozark Christian College","64801",29,4,2,9500,18368,125,7050,201,30400,28200,5200,15300,41900,58300,NA,0.4384,0.3923
"1092","College of the Ozarks","65726-0017",29,4,2,NA,NA,NA,NA,NA,35100,31700,10000,21200,44700,60400,0.0894,0.6348,0.5356
"1093","Park University","64152-3795",29,4,2,12964,18112,1805,9500,3621,48800,43900,12300,28200,64000,86800,0.7554,0.2578,0.3926
"1094","Stevens Institute of Business & Arts","63103",29,4,3,24534.5,31422,82,11589,92,26800,26200,3200,13200,36000,48000,NA,0.6889,0.6087
"1095","Ranken Technical College","63113-2811",29,4,2,11450,12000,1088,6750,888,48200,46500,12500,28300,64500,83200,NA,0.6053,0.6289
"1096","Research College of Nursing","64132-1199",29,4,3,14938.5,15000,147,NA,11,58500,54900,NA,NA,NA,NA,0.641,0.2035,NA
"1097","Rockhurst University","64110-2561",29,4,2,13825,17200,575,9500,294,52100,47600,15800,30900,68200,92100,0.7615,0.1927,0.7405
"1098","Everest College-Springfield","65807",29,4,3,17227,23335,891,10667.5,814,27000,23000,4000,12300,36900,53300,NA,0.8891,0.3333
"1099","Saint Louis University-Main Campus","63103-2097",29,4,2,19856,24999,1948,12000,1498,60600,55200,19900,37000,76200,103400,0.6199,0.1404,0.7061
"1100","Sanford-Brown College-Fenton","63026-3400",29,4,3,17375,20333,1685,9500,1461,32800,29300,5800,15300,45900,63600,NA,0.8007,0.5397
"1101","Saint Louis Christian College","63033",29,4,2,12000,24500,19,10532.5,220,31100,29700,NA,NA,NA,NA,0.331,0.5994,0.2273
"1102","St Louis College of Pharmacy","63110-1088",29,4,2,11625,11625,276,8750,132,95700,111600,31800,47600,132600,147900,NA,NA,NA
"1103","Saint Paul School of Theology","64127",29,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
